seller,product_name,price_int,price_dec
,"Women's Cloudfoam Ultimate W Sneaker,",49,99
LeoVera,Unisex LED Shoes USB Charging Flashing Sneakers Light Up Shoes for Women Men,19,99
,"Women's Synergy-Sandlot Work Boot,",43,22
Kaepa,Women's Cheerful Cheer Shoe with Color Change Snap in Logo,29,96
,AP1 Sport Walking Shoe,10,15
,"Womens AP1 Low Top Lace Up Fashion, Black Leather, Size 12.0",62,95
,API Women's Oxford 6.5 E US Brown-Nubuck,74,95
Forever Link,Women's Classic Slip-On Comfort Fashion Sneaker,11,98
,Kids' Chuck Taylor All Star Core Ox (Little),13,05
,Women's Court Pro II CMF Athletic Shoe,40,39
,Women's Crashback Leather Fashion Sneaker,34,95
,Women's Courtset W,39,98
WONZOM FASHION,High Top LED Light Up Shoes USB Charging Sneakers for Men Women,33,99
,"Women's Prowl Alt Knit Mesh Wn Sneaker,",44,37
,Womens Free Transform Flyknit Training Lightweight Trainers,54,99
Troadlop,Womens Sneakers Lightweight Breathable Mesh Slip On Casual Tennis Shoes Athletic Walking Running Sneakers,28,99
QANSI,Womens Hiking Shoes Barefoot Water Shoes Mesh Breathable Outdoor Gym Athletics Running Walking Sports Shoes,36,99
MEHOTO,Womens Fashion Lightweight Tennis Walking Shoes Sport Air Fitness Gym Jogging Running Sneakers,39,99
J. Adams,Bow Platform Slip on – Trendy Flatform Shoes - Comfortable Closed Toe Sneakers – Wally,35,00
,Women's Flex Trainer 6,58,00
,Women's Coursa LTT Fashion Sneaker,26,95
,Women's Belle Mary Jane Flat,36,49
Airwalk,Women's Legacee High-Top,34,99
,Women's Kickstart Leather Fashion Sneaker,24,95
,Triple Kick Patent,79,95
,Triple Kick Patent,79,95
,Triple Kick Patent,79,95
,Women's Chase II Tie Sneaker,77,65
,Women's Baseline Fashion Sneaker,44,95
,Unstructured Women's Un.Loop Slip-On Shoe,36,90
Padgene,Women's Sneaker High-Heeled Fashion Canvas Shoes High Pump Lace UP Wedges Side Zipper Shoes,29,99
,Kids' Suede Jr Sneaker,26,66
