product_name,price_int,price_dec,seller,a-size-small href 2
Oxford Shoes for Women Perforated Lace-up Wingtip Flat Oxfords Brown Oxford Shoes Brogues Black,19,99,Cicime,
Womens Kenley,51,31,Vionic,
"Women's Amberlee Crest Oxford,",39,90,,
Dora-7 Lace-up Vintage Cut-Out Women's Heeled Oxford,14,79,Chase & Chloe,
U.S. Polo Assn...... Women's Aeris-k9 Oxford,17,89,,
Women's 1461 W/Zip Oxford,46,00,,
"Women's, 7 Seas Carbon Lace up Shoes",33,00,Sperry,
Classic Lace up Oxford Shoes – Closed Round Toe – Sterling by,24,90,J. Adams,
Women’s Tassel Slip-On Comfortable Pointy Toe Oxford Low Heel Shoes,29,99,Candollar,
Aravon Women's Betty-AR Oxford,47,99,Aravon By New Balance,
Women's Summer Handmade Genuine Leather Sandal,58,89,Mordenmiss,
Propet TravelActiv,22,93,,
L’Artiste by Spring Step Women's Gabriel Oxford,72,03,L'Artiste by Spring Step,
White Bottom Womens Oxford Shoes,18,87,,
Women's Perforated Lace-up Wingtip Close Front Leather Flat Oxfords Vintage Oxford Shoes,69,99,U-lite,
Women's Wingtip Lace-Up Wood Platform Wedge Oxford Shoe,27,66,Chase & Chloe,
"Women's 1461 ALT MET Oxford,",66,61,,
Women's Willis Oxford,109,95,SoftWalk,
Women's T-Strap Platform Shoes Mid-Heel Vintage Oxfords Dress Shoes,27,99,Xipai,
"Oxford Leather Shoes,Women's Handmade Printing Splicing Plant Pattern Hook Loop Flat Vintage Shoes",54,98,Socofy,
Women's Creepers Wedge Platform Shoes Lace-up Flat Fashion Oxford,39,99,YORWOR,
Freja | Women's Lace-up Comfortable Leather Platform Wedge Sneaker,129,95,Linea Paolo,
Womens Santorini W7G-3517,119,95,,
"Women's GrandEvOlution Shortwing Oxford,",108,00,,
Emerge Golf Shoes 2017 Women,69,98,,
Women's Tally Oxford,39,90,,
DUBROVKA,34,99,,
Propet Women's W3910 Vista Walker Comfort Shoe,20,63,,
Women's Bikers-Bold Step Fashion Boot,22,49,,
Women's Francesca Flat,89,95,Aravon,
Women's Chunky Heel Shoes,29,00,Show Shine,
Oxee Womens Fashion Vegan Leather Oxford Shoes,29,99,Bucco,
Womens Sitges W7J Oxford,109,95,,
Alyn Back to School Sale Top Selling Classic Oxford Lace Up for Women Ladies Teen Girls (Assorted Colors),22,95,BDshoes,
Women's Women's Raven-EQ Oxford,35,06,,
Industrial Mila ST Women's Oxford,59,99,,
Women's Trustride Derby Trainer Fashion Sneaker,41,24,,
Comfort Mary Janes Silky,67,99,Wolky,
Women's Dayo Leather Oxford Flat,115,10,,
Women's Conchetta Oxford,42,00,,
Womens Evann,27,99,,
Women's 3989 DF Oxford,79,99,,
Footwear Women's Aika Fashion Sneaker,150,00,Cloud,
Women's Grandpro Tennis Sneaker,44,99,,
Women's 2.Zerogrand Stitchlite Oxford Flat,135,00,,
Women's Anna Slip-On Loafer,23,32,,
Women's Air Chatham Rainboot,127,95,,
Women's 1461 Wanderlust Oxford,68,75,,
Women's Ella Oxford,73,08,,
Women's Hooey Casual Canvas Shoe Graphic Print,69,95,Twisted X,
Women's British Style T-Bar Platform Heeled Oxford Shoes Work Shoes,29,99,PPXID,
Women's Ikebukuro - 2911,182,99,,
Women's Perforated Lace-up Wingtip Leather Flat Oxfords Vintage Oxford Shoes Brogues,27,99,DADAWEN,
"BOBS Women's Phresh - Top Spot Sneaker,",22,99,,
Firefish Boat Shoe,74,34,,
Women's Zerogrand Stitchlite Closed Oxford,89,00,,
Propet Women's Mabel Oxford,18,64,,
Women's Sienna Oxford,109,95,,
Women's Zerogrand Genevieve Perf Trainer,69,99,,
Women's Genuine Leather Slip on Round Toe Low Chunky Heel Pumps,35,97,CUNZHAI,
Women's Sadie Oxford,48,00,,
Women's Galina Boot,95,99,,
Women's Casual Solid Color Moccasins Leather Loafer Shoes,9,69,Mordenmiss,
Dora-5 Two Tone Lace up Low Heel Women's Oxford,16,59,Chase & Chloe,
"Women's Santanita Oxford,",39,45,,
Women's Sweet Cute Leather Round Toe Platform Bow Oxfords Shoes,12,99,leanna,
Women's Kemper Oxford,34,99,Shellys London,
"Women's Equal Oxford Flat,",70,00,,
Women's Moro Frost Grey 9.5 M US,39,99,Klogs Footwear,https://www.amazon.com/gp/offer-listing/B00131HPWG/ref=sr_1_312_olp?s=apparel&ie=UTF8&qid=1536137839&sr=1-312&nodeID=679415011&psd=1&condition=new
Footwear Women's Moro Leather Shoe,39,99,Klogs,
Women's Moro Castle Fg Oxford,52,87,Klogs Footwear,
Women's Moro Frost Grey 9 M US,109,95,Klogs Footwear,https://www.amazon.com/gp/offer-listing/B00131J95M/ref=sr_1_315_olp?s=apparel&ie=UTF8&qid=1536137839&sr=1-315&nodeID=679415011&psd=1&condition=new
Women's Moro Black Troy 9 M US,53,67,Klogs Footwear,
