seller,product_name,price_int,price_dec
FEETCITY,Mens Water Shoes Swim Shoes Women Quick-Dry Barefoot Beach Surf Boat Yoga Sneakers,7,99
,Dance Women's Pro Elastic Split Sole Canvas Ballet Slipper/Shoe,17,99
,Women's Torrance Running Shoe,46,95
,Performance Women's Go Walk 4 Propel Walking Shoe,38,89
,Women's Go Golf Birdie Golf Shoe,34,25
,"Women's Tempo Short,",13,97
,Women's Ultraboost Running Shoes,131,69
,"Women's Flex Experience Run 7 Shoe,",43,89
,Women's on-The-Go 600-Monarch Slide Sandal,21,24
Vionic,Women's Agile Kea Slip-on,29,90
,Women's Metcon 4 Training Shoe,89,65
,AFW1755F Women's Lone Peak 3.5 Shoes,64,85
,Women's Disruptor II Premium Sneakers,64,95
,Women's Cheer Sideline IV Cheerleading Shoes,69,88
,550 Tan Junior Footlight,29,96
,"Authentic,",13,05
,BOBS from Women's Chill Luxe Flat,21,66
Pegasus galaxy,Jazz Shoes Women/Big Kid Slip On,19,09
,Sport Women's Skech Air Run High Fashion Sneaker,44,48
,Women's Zcloud X2 Sport Sandal,69,88
,Performance Women's Go Step Lite-Agile Walking Shoe,25,00
,Go Step Lite Dashing Womens Sneakers Gray 8 W,47,99
,Go Step Lite Dashing Womens Sneakers Gray 9.5 W,64,99
,Women's Lunarepic Low Flyknit 2 Running Shoe,58,90
,Women's Lunarepic Low Flyknit 2 Running Shoe,100,00
,W NIKE LUNAREPIC LOW FLYKNIT 2 womens road running shoes 863780-007 Size 6 B(M) US,123,51
,W NIKE LUNAREPIC LOW FLYKNIT 2 womens road running shoes 863780-007 Size 7 B(M) US,107,73
On Running,ON Men's Cloudsurfer,50,00
,Sport Women's Elite Synergy Fashion Sneaker,20,79
,Women's Wave Inspire 14 Running Shoe,129,95
,Leather Pirouette II Dance Shoe,13,99
,Women's Terran Slide II Sandal,49,95
,Women's Womens 928v3 Walking Shoe Walking Shoe,109,99
,Women's Micro G Pursuit Sneaker,42,00
,Originals Women's Ligra 6 Volleyball Shoe,54,10
,Women's Zcloud Sport Sandal,65,68
,Women's Wave Bolt 7 Volleyball Shoes,92,23
,Women's Air Huarache Running Shoes,62,89
,Men's Train Speed 4 Running Shoe,29,99
,Women's Summits Sneaker,32,99
,"Women's Crest Vibe Sneaker,",50,36
,Women's Wave Rider 22 Running Shoe,119,95
Dynadans,Women's Leather Upper Slip-on Jazz Shoe,19,99
,Women's XR Mission Running Shoe,79,95
,Womens Metcon 3 Training Shoes,68,14
